modzcta_first,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
10001,6973,1128,16.2,29592.969
10002,16199,2857,17.6,21104.701
10003,12835,1953,15.2,23856.158
10004,981,133,13.6,26872.251
10005,2151,343,15.9,25619.016
10006,932,134,14.4,26953.778
10007,2235,297,13.3,27091.795
10009,13587,2240,16.5,23127.599
10010,8134,1161,14.3,25126.761
10011,14260,2132,15,28807.779
10012,5590,793,14.2,23309.924
10013,7340,943,12.8,25283.238
10014,8602,1222,14.2,27709.81
10016,13401,2002,14.9,25513.881
10017,4730,619,13.1,29329.298
10018,4099,591,14.4,43005.045
10019,12791,2101,16.4,31480.544
10021,13189,1732,13.1,29855.843
10022,9269,1222,13.2,30555.665
10023,16037,2022,12.6,26606.473
10024,15270,2219,14.5,26631.703
10025,21138,3523,16.7,22893.108
10026,7308,1622,22.2,18729.803
10027,11305,2589,22.9,17766.488
10028,12727,1733,13.6,25891.527
10029,13272,3364,25.3,16833.77
10030,4839,1286,26.6,16503.017
10031,13496,4408,32.7,22286.466
10032,12847,4349,33.9,20891.956
10033,13283,4485,33.8,22433.546
10034,9516,3116,32.7,22092.393
10035,6257,1759,28.1,18174.872
10036,8195,1604,19.6,31265.197
10037,4270,1137,26.6,20678.344
10038,4989,718,14.4,22627.944
10039,4730,1318,27.9,17877.717
10040,9747,3263,33.5,21752.678
10044,2243,394,17.6,19170.464
10065,8492,1070,12.6,29220.8
10069,1666,214,12.8,26285.358
10075,7203,1019,14.1,30477.103
10128,16215,2065,12.7,26429.485
10280,1847,234,12.7,19202.186
10282,1236,161,13,22409.815
10301,6682,1442,21.6,16867.965
10302,2577,713,27.7,13726.441
10303,3477,905,26,13254.977
10304,7177,1553,21.6,16907.462
10305,8189,1573,19.2,19240.625
10306,12026,2243,18.7,22400.768
10307,3059,541,17.7,20105.74
10308,5807,940,16.2,19594.855
10309,7198,1281,17.8,21808.83
10310,5924,1331,22.5,24816.767
10312,12962,2270,17.5,21494.31
10314,17801,3872,21.8,19597.225
10451,8453,2888,34.2,17714.202
10452,12779,5027,39.3,16588.555
10453,12171,4714,38.7,14991.864
10454,5211,1911,36.7,13633.005
10455,6426,2245,34.9,15236.74
10456,12786,4719,36.9,13683.368
10457,10762,4018,37.3,14409.844
10458,10882,3819,35.1,12984.481
10459,8003,2900,36.2,16550.662
10460,8757,2946,33.6,14577.203
10461,10267,2620,25.5,20749.98
10462,13738,3773,27.5,17764.867
10463,13943,3727,26.7,19558.876
10464,889,172,19.3,20421.952
10465,8253,1929,23.4,19179.45
10466,8478,3006,35.5,11747.809
10467,14751,5009,34,14636.245
10468,12985,5071,39.1,16933.765
10469,10045,3290,32.8,14047.33
10470,2290,634,27.7,16236.811
10471,4790,988,20.6,22544.067
10472,9171,3312,36.1,13503.856
10473,9716,2856,29.4,15689.878
10474,1428,538,37.7,11480.882
10475,6264,1842,29.4,14319.938
11004,4640,894,19.3,24735.382
11101,9925,1975,19.9,28192.73
11102,7967,1965,24.7,24413.997
11103,8651,1994,23,23645.883
11104,6912,1617,23.4,27898.304
11105,8908,1683,18.9,24816.91
11106,8778,2020,23,22703.053
11109,1594,197,12.4,31435.858
11201,16737,2315,13.8,27479.081
11203,11034,4044,36.7,15034.25
11204,18053,6528,36.2,22759.006
11205,9312,2823,30.3,21157.285
11206,17271,5598,32.4,20200.8
11207,12395,4057,32.7,13902.481
11208,13404,4964,37,14019.793
11209,15923,3047,19.1,23736.932
11210,12828,4397,34.3,19120.785
11211,26508,8572,32.3,26615.882
11212,10167,3530,34.7,12774.219
11213,13080,5080,38.8,20302.382
11214,16917,3540,20.9,18125.332
11215,16461,2166,13.2,23538.48
11216,10643,2139,20.1,19163.553
11217,10157,1647,16.2,21393.667
11218,17922,6009,33.5,23641.782
11219,24453,11447,46.8,26333.736
11220,17882,4619,25.8,18163.535
11221,14472,3625,25,17719.564
11222,10377,1657,16,28548.112
11223,15772,3917,24.8,19725.575
11224,9059,1878,20.7,20363.095
11225,11664,3462,29.7,20210.881
11226,15215,4750,31.2,15359.173
11228,8183,1479,18.1,18507.26
11229,17867,4112,23,21042.489
11230,22199,7340,33.1,24896.324
11231,9028,1331,14.7,24403.494
11232,5155,1620,31.4,18234.175
11233,9097,2397,26.3,12609.234
11234,18798,5018,26.7,19724.085
11235,18489,3731,20.2,23244.868
11236,14681,5264,35.9,15158.963
11237,9963,3383,34,19652.546
11238,13624,2281,16.7,25222.252
11239,3023,837,27.7,24352.783
11354,11063,1911,17.3,19926.757
11355,17720,2812,15.9,22146.131
11356,4679,1218,26,20061.965
11357,9328,1669,17.9,23334.254
11358,7698,1384,18,21659.186
11360,4507,702,15.6,23893.12
11361,5911,961,16.3,21131.851
11362,3910,550,14.1,22043.059
11363,1598,236,14.8,22321.453
11364,7180,1041,14.5,20773.902
11365,9092,1700,18.7,20639.811
11366,3070,707,23,22282.891
11367,10040,2877,28.7,23882.45
11368,25557,13188,51.6,22901.748
11369,8239,3768,45.7,22595.987
11370,6646,2205,33.2,20287.77
11372,17650,7054,40,28211.618
11373,23307,8471,36.3,25094.801
11374,11425,2847,24.9,27171.568
11375,16972,3371,19.9,24055.679
11377,19850,6354,32,22956.322
11378,7821,2116,27.1,22608.324
11379,8086,1765,21.8,22339.761
11385,20122,5699,28.3,19549.226
11411,3243,997,30.7,15823.944
11412,5560,1881,33.8,14130.713
11413,6375,2105,33,14605.491
11414,6088,1261,20.7,21538.581
11415,4807,1224,25.5,24991.879
11416,4604,1418,30.8,17298.892
11417,5966,1755,29.4,19078.604
11418,7816,2466,31.6,20511.656
11419,7545,2242,29.7,14838.106
11420,7144,2099,29.4,14755.541
11421,8191,2689,32.8,19405.59
11422,4745,1416,29.8,14071.092
11423,5658,1803,31.9,17658.548
11426,3900,805,20.6,19152.118
11427,5275,1384,26.2,22724.946
11428,3832,1026,26.8,19826.723
11429,4459,1499,33.6,15904.366
11432,13254,4216,31.8,20973.044
11433,5155,1722,33.4,14305.234
11434,9824,3076,31.3,14546.293
11435,10036,3209,32,17404.322
11436,2654,817,30.8,12755.063
11691,10450,3612,34.6,16136.749
11692,2682,849,31.7,13329.862
11693,2141,499,23.3,17292.242
11694,4740,1139,24,23285.77
11697,1875,289,15.4,53015.677
