vaccination_date,doses_admin,incomplete,doses_admin_7day_avg,total_doses_admin
5/24/2022,0,-,0.0,0
5/25/2022,1,-,0.0,1
5/26/2022,3,-,0.0,4
5/27/2022,0,-,0.0,4
5/28/2022,0,-,0.0,4
5/29/2022,0,-,0.0,4
5/30/2022,0,-,1.0,4
5/31/2022,0,-,1.0,4
6/1/2022,2,-,1.0,6
6/2/2022,2,-,1.0,8
6/3/2022,3,-,1.0,11
6/4/2022,1,-,1.0,12
6/5/2022,0,-,1.0,12
6/6/2022,3,-,2.0,15
6/7/2022,0,-,2.0,15
6/8/2022,0,-,1.0,15
6/9/2022,2,-,1.0,17
6/10/2022,0,-,1.0,17
6/11/2022,2,-,1.0,19
6/12/2022,0,-,1.0,19
6/13/2022,0,-,1.0,19
6/14/2022,0,-,1.0,19
6/15/2022,1,-,1.0,20
6/16/2022,3,-,1.0,23
6/17/2022,5,-,2.0,28
6/18/2022,6,-,2.0,34
6/19/2022,0,-,2.0,34
6/20/2022,0,-,2.0,34
6/21/2022,2,-,2.0,36
6/22/2022,8,-,3.0,44
6/23/2022,288,-,44.0,332
6/24/2022,193,-,71.0,525
6/25/2022,6,-,71.0,531
6/26/2022,144,-,92.0,675
6/27/2022,176,-,117.0,851
6/28/2022,66,-,126.0,917
6/29/2022,6,-,126.0,923
6/30/2022,57,-,93.0,980
7/1/2022,10,-,66.0,990
7/2/2022,11,-,67.0,1001
7/3/2022,0,-,47.0,1001
7/4/2022,0,-,21.0,1001
7/5/2022,13,-,14.0,1014
7/6/2022,9,-,14.0,1023
7/7/2022,714,-,108.0,1737
7/8/2022,579,-,189.0,2316
7/9/2022,325,-,234.0,2641
7/10/2022,314,-,279.0,2955
7/11/2022,95,-,293.0,3050
7/12/2022,549,-,369.0,3599
7/13/2022,465,-,434.0,4064
7/14/2022,581,-,415.0,4645
7/15/2022,671,-,429.0,5316
7/16/2022,320,-,428.0,5636
7/17/2022,4105,-,969.0,9741
7/18/2022,463,-,1022.0,10204
7/19/2022,640,-,1035.0,10844
7/20/2022,565,-,1049.0,11409
7/21/2022,724,-,1070.0,12133
7/22/2022,578,-,1056.0,12711
7/23/2022,525,-,1086.0,13236
7/24/2022,4021,-,1074.0,17257
7/25/2022,534,-,1084.0,17791
7/26/2022,711,-,1094.0,18502
7/27/2022,620,-,1102.0,19122
7/28/2022,777,-,1109.0,19899
7/29/2022,774,-,1137.0,20673
7/30/2022,4176,-,1659.0,24849
7/31/2022,3895,-,1641.0,28744
8/1/2022,733,5780,1669.0,29477
8/2/2022,981,5780,1708.0,30458
8/3/2022,854,5780,1741.0,31312
8/4/2022,894,5780,1758.0,32206
8/5/2022,1922,5780,1922.0,34128
8/6/2022,5770,5780,2150.0,39898
8/7/2022,5497,5780,2379.0,45395
8/8/2022,801,5780,2388.0,46196
8/9/2022,974,5780,2387.0,47170
